T35,R,P1,surmise,/sərˈmaɪz/ - verb,To infer something without sufficient evidence,حدس زدن,One of the first recorded observers to surmise a long age for Earth was the Greek historian Herodotus.
T35,R,P1,successive,/səkˈsɛsɪv/ - adjective,Following one another in a sequence,پی در پی,He observed that the Nile River Delta was in fact a series of sediment deposits built up in successive floods.
T35,R,P1,trivial,/ˈtrɪviəl/ - adjective,Of little value or importance,جزئی,"More important than the amount of time Herodotus computed, which turns out to be trivial compared with the age of Earth."
T35,R,P1,cemented,/sɪˈmɛntɪd/ - verb,Bound together to form a solid mass,سفت شدن,Layers of sediment that had compacted and cemented to form sedimentary rocks.
T35,R,P1,associated with,/əˈsoʊsieɪtɪd wɪð/ - phrase,Connected or related to,مربوط به,Forces associated with subterranean heat cause land to be uplifted into plateaus and mountain ranges.
T35,R,P1,plateaus,/plæˈtoʊz/ - noun,Large areas of flat land that are elevated high above sea level,فلات‌ها,Subterranean heat cause land to be uplifted into plateaus and mountain ranges.
T35,R,P1,erosion,/ɪˈroʊʒən/ - noun,The process by which the surface of the Earth gets worn down,فرسایش,The remains of life within those layers of the earlier episodes of erosion and deposition.
T35,R,P1,deposition,/ˌdɛpəˈzɪʃən/ - noun,The process of depositing sediment,ته‌نشست,The remains of life within those layers of the earlier episodes of erosion and deposition.
T35,R,P1,abyss,/əˈbɪs/ - noun,A deep or seemingly bottomless chasm,پرتگاه,Earth’s history is an abyss and human history a speck by comparison.
T35,R,P1,speck,/spɛk/ - noun,A tiny spot,لکه کوچک,Earth’s history is an abyss and human history a speck by comparison.
T35,R,P1,stratigraphic,/ˌstrætəˈɡræfɪk/ - adjective,Relating to the layers of sedimentary rock,لایه‌شناسی,"Rates of sedimentation so as to estimate the age of Earth from the total length of the sedimentary, or stratigraphic, record."
T35,R,P1,flawed,/flɔd/ - adjective,Having imperfections or mistakes,دارای نقص,"Various other techniques to estimate Earth’s age fell short, and particularly noteworthy in this regard were flawed determinations of the Sun’s age."
T35,R,P1,a suite of,/ə swit ʌv/ - phrase,A set or collection of related things,مجموعه‌ای از,From the initial work came a suite of discoveries leading to radioisotopic dating.
T35,R,P1,nuclear fusion,/ˈnuːkliər ˈfjuːʒən/ - noun,A reaction in which atomic nuclei combine to form a heavier nucleus,همجوشی هسته‌ای,The discovery of nuclear fusion as an energy source capable of sustaining the Sun’s luminosity.
T35,R,P1,luminosity,/ˌluːməˈnɑːsəti/ - noun,The intrinsic brightness of a celestial object,درخشندگی,Nuclear fusion as an energy source capable of sustaining the Sun’s luminosity for that amount of time.
T35,R,P1,refinements,/rɪˈfaɪnmənts/ - noun,Small improvements,اصلاحات جزئی,Refinements of solar evolution models converged on an age for the solar system.
T35,R,P2,foraged,/ˈfɔːrɪdʒd/ - verb,Searched for wild food resources,جستجوی خوراک,"For most of human history, we have foraged for food."
T35,R,P2,made little sense,/meɪd ˈlɪtl sɛns/ - phrase,Was not logical or necessary,منطقی نبود,Providing for more than one’s needs made little sense.
T35,R,P2,egalitarian,/ɪˌɡælɪˈtɛriən/ - adjective,Believing in or based on the principle that all people are equal and deserve equal rights and opportunities,برابری طلبانه,Such societies likely were largely egalitarian.
T35,R,P2,sedentism,/ˈsɛdəntɪzəm/ - noun,The practice of living in one place for a long time,یکجانشینی,A rich habitat and sedentism led to a dramatic increase in human population.
T35,R,P2,adoption,/əˈdɑːpʃən/ - noun,The action of taking on a new approach or method,پذیرش,The adoption of a more settled existence contributed to higher fertility levels.
T35,R,P2,sedentary,/ˈsɛdənˌtɛri/ - adjective,Inactive or spending much time seated,یکجا نشین,Sedentary foragers had higher fertility levels.
T35,R,P2,proportionally,/prəˈpɔːrʃənəli/ - adverb,Corresponding in size or amount to something else,به نسبت,A diet higher in wild cereals produces proportionally more body fat.
T35,R,P2,mortality,/mɔːrˈtæləti/ - noun,The state of being subject to death,مرگ و میر,A more sedentary existence may have lowered infant mortality.
