T36,R,P1,aid in,/eɪd ɪn/ - phrasal verb,To help or assist in something,کمک کردن به,Living organisms aid in the translocation and aeration of the soil.
T36,R,P1,aeration,/ɛrˈeɪʃən/ - noun,The process of introducing air into a material,تهویه,"Earthworms mix soil both vertically and horizontally, improving aeration and drainage."
T36,R,P1,predominant,/prɪˈdɑːmɪnənt/ - adjective,Present as the strongest or main element,غالب,The predominant type of natural vegetation is the most important direct influence on soil characteristics.
T36,R,P1,prairies,/ˈprɛriz/ - noun,Large open areas of grassland,چمنزارها,"Thus prairies and tundra regions, which have characteristic vegetations, also have characteristic soils."
T36,R,P1,tundra,/ˈtʌndrə/ - noun,"A vast, flat, treeless Arctic region",توندرا,Prairies and tundra regions have characteristic soils.
T36,R,P1,litter,/ˈlɪtər/ - noun,Decayed organic material on the ground,بقایا,Bacteria decompose organic litter to form humus.
T36,R,P1,debris,/dəˈbriː/ - noun,"Scattered fragments, typically of something destroyed",آوار,Organic litter or debris forms humus when decomposed by bacteria.
T36,R,P1,legumes,/ˈlɛɡˌjumz/ - noun,"A family of plants including beans and peas, often grown for food",حبوبات,The bacteria that legumes host within their root nodules change nitrogen gas into nitrogen compounds.
T36,R,P1,alfalfa,/ælˈfælfə/ - noun,A leguminous plant grown for fodder,یونجه,"Important agricultural crops such as alfalfa, clover, soybeans, peas, and peanuts are legumes."
T36,R,P1,clover,/ˈkloʊvər/ - noun,"A plant of the pea family with dense, round flower heads",شبدر,Crops such as clover are important for soil fertility.
T36,R,P1,soybeans,/ˈsɔɪˌbinz/ - noun,A type of legume grown for its edible seeds,سویا,Soybeans are among the legumes that host nitrogen-fixing bacteria.
T36,R,P1,peas,/piz/ - noun,A spherical seed that is widely grown as a food crop,نخود,"Peas, like other legumes, improve soil fertility."
T36,R,P1,peanuts,/ˈpiːˌnʌts/ - noun,"The oval seed of a South American plant, widely grown for food",بادام زمینی,Peanuts are legumes that help in nitrogen fixation in the soil.
T36,R,P1,nodules,/ˈnɑːdʒulz/ - noun,Small swellings on roots of legumes,گره‌ها,The bacteria within the root nodules of legumes fix nitrogen from the atmosphere.
T36,R,P1,fixation,/fɪkˈseɪʃən/ - noun,The process of converting nitrogen gas into a form that plants can absorb and use,تثبیت,Nitrogen fixation makes the soil more fertile.
T36,R,P1,fungi,/ˈfʌŋɡaɪ/ - noun,"Organisms such as mushrooms, molds, and yeasts",قارچ‌ها,"In highly acidic soils, fungi become the chief decomposers of organic matter."
T36,R,P1,with respect to,/wɪð rɪˈspɛkt tu/ - phrase,Concerning or relating to,با توجه به,More complex forms of vegetation play several vital roles with respect to the soil.
T36,R,P1,bulk,/bʌlk/ - noun,The main or greater part,عمده,"Trees, grass, and other large plants supply the bulk of the soil’s humus."
T36,R,P1,constitute,/ˈkɑːnstɪˌtut/ - verb,To make up or form,تشکیل دادن,The minerals released as these plants decompose on the surface constitute an important nutrient source.
